allowedToOperate,bipdInsuranceOnFile,bipdInsuranceRequired,bipdRequiredAmount,bondInsuranceOnFile,bondInsuranceRequired,brokerAuthorityStatus,cargoInsuranceOnFile,cargoInsuranceRequired,censusTypeId,commonAuthorityStatus,contractAuthorityStatus,crashTotal,dbaName,dotNumber,driverInsp,driverOosInsp,driverOosRate,driverOosRateNationalAverage,ein,fatalCrash,hazmatInsp,hazmatOosInsp,hazmatOosRate,hazmatOosRateNationalAverage,injCrash,isPassengerCarrier,issScore,legalName,mcs150Outdated,oosDate,oosRateNationalAverageYear,phyCity,phyCountry,phyState,phyStreet,phyZipcode,reviewDate,reviewType,safetyRating,safetyRatingDate,safetyReviewDate,safetyReviewType,snapshotDate,statusCode,totalDrivers,totalPowerUnits,towawayCrash,vehicleInsp,vehicleOosInsp,vehicleOosRate,vehicleOosRateNationalAverage,carrierOperation.carrierOperationCode,carrierOperation.carrierOperationDesc
Y,0,Y,750,0,u,N,0,u,0,I,N,0,HELMIG & SON TRUCKING,1000070,0,0,0,5.51,400000735,0,0,0,0,4.5,0,0,0,TONIE DALE HELMIG,N,0,2009-2010,OWENSVILLE,US,MO,1975 HWY 50,65066-2101,0,0,0,0,0,0,0,I,2,2,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,MARIANO TRANSPORT,1000073,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,9102-5064 QUEBEC INC,N,0,2009-2010,MASCOUCHE,CA,QC,1442 AV DUPUIS,J7K 2V1,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,0,1000075,0,0,0,5.51,861047425,0,0,0,0,4.5,0,0,0,BFH TRUCKING INC,N,0,2009-2010,TUCSON,US,AZ,6871 N SANDERS RD,85743,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
N,0,Y,750,0,u,N,0,u,0,I,N,0,D & D TRUCKING,1000084,0,0,0,5.51,570888851,0,0,0,0,4.5,0,0,0,MAXWELL H DUCKETT JR,N,2009-04-06,2009-2010,CLINTON,US,SC,1311 TORRINGTON RD,29325,2009-01-28,C,U,2009-04-06,2009-01-28,C,0,I,3,3,0,0,0,0,20.72,A,Interstate
Y,0,u,0,0,u,N,0,u,0,N,I,0,0,1000085,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,MARTIN RUBEN GALINDO GONZALEZ,N,0,2009-2010,AUTLAN,MX,JA,GUILLERMO PRIETO #35,MEXICO,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,RUDY RIDGE EXPRESS,1000087,0,0,0,5.51,10872696,0,0,0,0,4.5,0,0,0,RIO VISTA HOMES INC,N,0,2009-2010,SANGER,US,TX,212 BOLIVAR ST,76266,0,0,0,0,0,0,0,I,4,3,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,0,1000090,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,TRANSPORT M Y P INC,N,0,2009-2010,COWANSVILLE,CA,QC,380 RIVIERE,J2K 1N3,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,0,1000091,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,ALBERT LOVE JR,N,0,2009-2010,CLINTON,US,MD,9509 PRYDE DRIVE,20735,0,0,0,0,0,0,0,I,3,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,5000,0,u,N,0,u,0,I,N,0,ASAP TOURS,1000094,0,0,0,5.51,571127926,0,0,0,0,4.5,0,0,0,GEORGE HALMON,N,0,2009-2010,SPARTANBURG,US,SC,102 DERBY DOWNS,29301,2017-08-11,C,S,2017-08-18,2017-08-11,C,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,I,0,VISION TRANSPORTATION OF JONESTOWN PA,1000103,0,0,0,5.51,311753013,0,0,0,0,4.5,0,0,0,M L HITZ TRUCKING INC,N,0,2009-2010,JONESTOWN,US,PA,10846 JONESTOWN RD,17038,0,0,0,0,0,0,0,I,5,3,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,MARTIN TRUCKING,1000107,0,0,0,5.51,592800960,0,0,0,0,4.5,0,0,0,JIMMIE A MARTIN,N,0,2009-2010,MELROSE,US,FL,22516 NE 35TH AVE,32666,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,0,1000110,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,EXPRESS BAS ST-LAURENT INC,N,0,2009-2010,ST PHILIPPE DE NERI,CA,QC,50 ROUTE 230 EST,G0L 4A0,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,0,1000112,0,0,0,5.51,232367046,0,0,0,0,4.5,0,0,0,STEPHEN W KOLVA,N,0,2009-2010,ELIZABETHVILLE,US,PA,1281 MOUNTAIN RD,17023,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,I,0,0,1000113,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,ISMAEL SOTO BENAVENTE,N,0,2009-2010,CHIHUAHUA,MX,CI,KM 10 CARRETERA CUAUHTEMOR,31430,0,0,0,0,0,0,0,I,2,2,0,0,0,0,20.72,A,Interstate
N,1000,Y,1000,0,u,N,5,u,0,A,N,0,0,1000118,0,0,0,5.51,204546650,0,0,0,0,4.5,0,0,0,SKYLINE RECOVERY SYSTEMS LLP,N,2011-04-06,2009-2010,DENVER,US,CO,5130-A BRIGHTON BLVD,80216,2011-04-25,C,C,2011-07-24,2011-04-25,C,0,I,6,7,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,0,1000121,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,SERVICE EXPRESS STEPHANE INC,N,0,2009-2010,ST EUSTACHE,CA,QC,335 RUE BOILEAU,J7R 4R5,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,0,1000124,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,O CONNOR TRANSPORT INC,N,0,2009-2010,SALEM,US,OR,686 EISENHOWER CT NW,97304,0,0,0,0,0,0,0,I,2,2,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,N,0,0,1000131,0,0,0,5.51,223386505,0,0,0,0,4.5,0,0,0,INNOVATIVE INSTALLATION INC,N,0,2009-2010,UNION,US,NJ,410 CLERMONT TERR,07083,0,0,0,0,0,0,0,I,12,4,0,0,0,0,20.72,A,Interstate
Y,0,Y,1000,0,u,N,0,u,0,N,I,0,0,1000135,0,0,0,5.51,204094634,0,0,0,0,4.5,0,0,0,ALABAMA EXPRESS TRANSPORTATION INC,N,0,2009-2010,MOBILE,US,AL,2941 BUNGALOW COURT NORTH,36695,0,0,0,0,0,0,0,I,1,5,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,Y,I,0,u,0,N,N,0,F G LOGISTICS,1000138,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,FREDERIC GRIGNET,N,0,2009-2010,POINTE-DU-LAC,CA,QC,2506 NOTRE-DAME,G0X 1Z0,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,0,1000141,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,NETWORK TRANSPORT 2002 INC,N,0,2009-2010,MISSISSAUGA,CA,ON,1245 CARDIFF BLVD,L5S 1P8,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,0,1000142,0,0,0,5.51,361574290,0,0,0,0,4.5,0,0,0,OFFERMAN VAN & STORAGE CO,N,0,2009-2010,MANTENO,US,IL,8876 N 3000 WEST ROAD,60950,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,0,1000145,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,KUSTOM TOWING LTD,N,0,2009-2010,VICTORIA,CA,BC,645 GOYETTE RD,V8Z 3J5,0,0,0,0,0,0,0,I,3,2,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,PALADAN TRUCKING,1000157,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,JAMES S JONES IV,N,0,2009-2010,QUINTON,US,VA,7748 AIRPORT RD,23141-2403,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,D & D TRUCKING,1000160,0,0,0,5.51,300111525,0,0,0,0,4.5,0,0,0,DWIGHT SHIPP,N,0,2009-2010,ROSSTON,US,AR,5596 US HWY 278,71858,2009-02-06,C,S,2009-02-09,2009-02-06,C,0,I,5,7,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,TAVIOS TRUCKING,1000162,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,OCTAVIO TREJO HINOJOSA,N,0,2009-2010,SAN FERNANDO,US,CA,447 N BRAND BLVD,91340,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,I,0,SMITH HAULING,1000163,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,MARK SMITH,N,0,2009-2010,ROSSTON,US,AR,5610 US HWY 278,71858,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,Y,N,0,u,0,N,I,0,0,1000167,0,0,0,5.51,880502414,0,0,0,0,4.5,0,0,0,LIBERTY THREE INC,N,0,2009-2010,RANCHO CUCAMONGA,US,CA,8350 ARCHIBALD AVENUE,91730,0,0,0,0,0,0,0,I,2,2,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,0,1000175,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,VIP ENTERPRISES INC,N,0,2009-2010,MAURY,US,NC,BOX 426,28554,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,Y,0,I,I,0,0,1000179,0,0,0,5.51,522302274,0,0,0,0,4.5,0,0,0,CHRISTOPHER JOHN SOUSA,N,0,2009-2010,GAITHERSBURG,US,MD,7800 AIRPARK ROAD #5,20879,0,0,0,0,0,0,0,I,10,6,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,T & T TRUCKING INC,1000193,0,0,0,5.51,860938818,0,0,0,0,4.5,0,0,0,MICHAEL TAYLOR,N,0,2009-2010,PHOENIX,US,AZ,8640 W MITCHELL DRIVE,85037,0,0,0,0,0,0,0,I,3,2,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,2,0,1000200,5,0,0,5.51,272479226,0,0,0,0,4.5,0,0,0,T & S TRUCKING LLC,N,0,2009-2010,NEWPORT,US,TN,2544 BOGARD ROAD,37821,2018-10-02,C,C,2018-12-11,2018-10-02,C,0,I,6,6,2,2,2,100,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,JERRY STUCKEY TRUCKING,1000202,0,0,0,5.51,582518329,0,0,0,0,4.5,0,0,0,JERRY R STUCKEY,N,0,2009-2010,MUSCADINE,US,AL,1046 COUNTY ROAD 693,36269-3071,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,1000,0,Y,I,0,u,0,N,I,0,0,1000203,0,0,0,5.51,352151462,0,0,0,0,4.5,0,0,0,KEY LOGISTICS INC,N,0,2009-2010,ALEXANDRIA,US,IN,40 W STATE ROAD 128,46001,0,0,0,0,0,0,0,I,3,3,0,0,0,0,20.72,A,Interstate
N,0,Y,750,0,u,N,0,u,0,I,N,0,0,1000206,0,0,0,5.51,200706986,0,0,0,0,4.5,0,0,0,CUTINO TRANSPORT CORP,N,2011-03-01,2009-2010,MIAMI,US,FL,2012 SW 143RD COURT,33175,2010-12-16,C,U,2011-02-21,2010-12-16,C,0,I,20,10,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,GREEN MILEDOLLAR TRANSPORT,1000220,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,THOMAS SHIELDS,N,0,2009-2010,NACOGDOCHES,US,TX,110 PITMAN STREET,75964,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,u,0,0,u,N,0,u,0,I,I,0,PRO AIR DE NUEVO LAREDO,1000224,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,ARMANDO JUAREZ,N,0,2009-2010,NUEVO LAREDO,MX,TA,GONZALEZ # 5111,MEXICO,0,0,0,0,0,0,0,I,1,2,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,0,1000227,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,PRO-DEL TRANSPORTATION INC,N,0,2009-2010,MISSISSAUGA,CA,ON,3105 ORLANDO DR,L4V 1T9,0,0,0,0,0,0,0,I,3,3,0,0,0,0,20.72,A,Interstate
Y,0,Y,1000,0,u,N,0,u,0,I,N,0,TRANSPORT J N S,1000232,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,9011-1675 QUEBEC INC,N,0,2009-2010,TROIS-RIVIERES OUEST,CA,QC,62 PRATTE,G9B 1H3,0,0,0,0,0,0,0,I,3,3,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,0,1000234,0,0,0,5.51,421439584,0,0,0,0,4.5,0,0,0,IVANSON & COMPANY LLC,N,0,2009-2010,RUTHVEN,US,IA,3593 355TH STREET,51358,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,0,1000239,0,0,0,5.51,264055876,0,0,0,0,4.5,0,0,0,BASIC TRANSPORT LLC,N,0,2009-2010,COLOMA,US,WI,323 N ROGERS RD,54930,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,0,1000245,0,0,0,5.51,753056623,0,0,0,0,4.5,0,0,0,RAJAY TRUCKING LLC,N,0,2009-2010,AVOCA,US,IA,562 SOUTH CEDAR ST,51521,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,EKE EXPRESS,1000248,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,EARNEST E EDENFIELD,N,0,2009-2010,METTER,US,GA,1011 BOSTON ST,30439,0,0,0,0,0,0,0,I,2,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,WESTLAKE BROTHERS TRUCKING,1000251,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,STANLEY A WESTLAKE,N,0,2009-2010,VERNONIA,US,OR,963 MISSOURI AVE,97064-1422,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,WESTERN DELIVERY,1000257,0,0,0,5.51,680495533,0,0,0,0,4.5,0,0,0,ROGER WAYNE MAGARRELL,N,0,2009-2010,GRESHAM,US,OR,2485 SW GIESE LOOP,97080,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,0,1000259,0,0,0,5.51,980363977,0,0,0,0,4.5,0,0,0,MORAM LOGISTIQUE INC,N,0,2009-2010,PLESSISVILLE,CA,QC,201 TOURIGNY,G6L 2Y7,0,0,0,0,0,0,0,I,2,2,0,0,0,0,20.72,A,Interstate
Y,0,Y,1000,0,u,N,0,u,0,I,N,0,0,1000265,0,0,0,5.51,223624575,0,0,0,0,4.5,0,0,0,BASIC TRANSPORTATION INC,N,0,2009-2010,PORT ORANGE,US,FL,106 BEARFOOT TRAIL,32129,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,FRANK INMAN TRUCKING,1000270,0,0,0,5.51,561863626,0,0,0,0,4.5,0,0,0,FRANKLIN EMERSON INMAN JR,N,0,2009-2010,BURLINGTON,US,NC,207 ELMIRA ST,27217,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,0,1000274,0,0,0,5.51,300033857,0,0,0,0,4.5,0,0,0,JEFFREY R MITCHELL,N,0,2009-2010,LAUREL,US,DE,31894 MITCHELL LN,19956,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,E T B TRANSPORT,1000276,0,0,0,5.51,541734188,0,0,0,0,4.5,0,0,0,EDWARD T BUJANOVSKY,N,0,2009-2010,GORDONSVILLE,US,VA,201 HOLLADAY AVE,22942,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,5,u,0,I,N,0,H & A TRANSPORT,1000284,0,0,0,5.51,752977795,0,0,0,0,4.5,0,0,0,FRANK H STUDSTILL JR,N,0,2009-2010,RAY CITY,US,GA,310 PECAN STREET,31645,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,0,1000289,0,0,0,5.51,980357741,0,0,0,0,4.5,0,0,0,EXPRESS FABER INC,N,0,2009-2010,DAVELUYVILLE,CA,QC,12 RUE AYOTTE,G0Z 1C0,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,B & A ENTERPRISE,1000290,0,0,0,5.51,30377949,0,0,0,0,4.5,0,0,0,B B & A ENTERPRISE INC,N,0,2009-2010,LAWRENCEVILLE,US,GA,2389 MORNING DEW PL,30044,0,0,0,0,0,0,0,I,3,2,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,0,1000293,0,0,0,5.51,980366954,0,0,0,0,4.5,0,0,0,1446482 ONTARIO INC,N,0,2009-2010,BRAMPTON,CA,ON,16 CARLETON PLACE,L6T 3Z4,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,SW TRUCKING,1000303,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,STEVEN L WATKINS,N,0,2009-2010,BOURBON,US,IN,8671 ST RD 331,46504,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,1000,0,u,N,0,u,0,I,N,0,MR MONSTER TRANSPORTATION,1000306,0,0,0,5.51,522359443,0,0,0,0,4.5,0,0,0,EUGENEIO JONES,N,0,2009-2010,BRANDYWINE,US,MD,9305 CALIPH ST,20613,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,0,1000307,0,0,0,5.51,352056282,0,0,0,0,4.5,0,0,0,ADVANCE SERVICES LLC,N,0,2009-2010,ROCKPORT,US,IN,349 E C R 350 N,47635,0,0,0,0,0,0,0,I,2,3,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,Y,0,I,N,0,0,1000311,0,0,0,5.51,753304406,0,0,0,0,4.5,0,0,0,STUDENT MOVERS LLC,N,0,2009-2010,COLUMBIA,US,TN,104 SUNRISE DR,38401,0,0,0,0,0,0,0,I,3,3,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,0,1000313,0,0,0,5.51,650973151,0,0,0,0,4.5,0,0,0,BRAZIL TRANSPORT INC,N,0,2009-2010,TAMARAC,US,FL,11011 BAILEY LANE,33321,0,0,0,0,0,0,0,I,1,2,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,0,1000317,0,0,0,5.51,361288199,0,0,0,0,4.5,0,0,0,ALLSTAR TRANSPORT INC,N,0,2009-2010,CHICAGO,US,IL,3924 NORTH PIONEER AVE,60634,0,0,0,0,0,0,0,I,3,3,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,I,N,0,L & M TRANSPORT,1000318,0,0,0,5.51,980369114,0,0,0,0,4.5,0,0,0,3587835 CANADA INC,N,0,2009-2010,ST-LIN,CA,QC,486 PLACE DONATO,J5M 2K8,0,0,0,0,0,0,0,I,2,1,0,0,0,0,20.72,A,Interstate
Y,0,Y,750,0,u,N,0,u,0,N,I,0,0,1000319,0,0,0,5.51,0,0,0,0,0,4.5,0,0,0,EMILIO ALFONSO,N,0,2009-2010,MIAMI,US,FL,27716 S.W. 132 COURT,33032,0,0,0,0,0,0,0,I,1,1,0,0,0,0,20.72,A,Interstate
